"","subject","activity","section","variable","value"
"36",6,"LAYING","train","tBodyAcc-mean()-X",0.248656520140351
"37",7,"WALKING","train","tBodyAcc-mean()-X",0.275592961754386
"38",7,"WALKING_UPSTAIRS","train","tBodyAcc-mean()-X",0.248706923078431
"39",7,"WALKING_DOWNSTAIRS","train","tBodyAcc-mean()-X",0.28030708
"40",7,"SITTING","train","tBodyAcc-mean()-X",0.284674637291667
"41",7,"STANDING","train","tBodyAcc-mean()-X",0.282723539433962
"42",7,"LAYING","train","tBodyAcc-mean()-X",0.250176694038462
"43",8,"WALKING","train","tBodyAcc-mean()-X",0.27468631
"44",8,"WALKING_UPSTAIRS","train","tBodyAcc-mean()-X",0.258880152048781
"45",8,"WALKING_DOWNSTAIRS","train","tBodyAcc-mean()-X",0.283484089210526
"46",8,"SITTING","train","tBodyAcc-mean()-X",0.267491472934783
"47",8,"STANDING","train","tBodyAcc-mean()-X",0.279620986111111
"48",8,"LAYING","train","tBodyAcc-mean()-X",0.261254282907407
"49",9,"WALKING","test","tBodyAcc-mean()-X",0.278502842115385
"50",9,"WALKING_UPSTAIRS","test","tBodyAcc-mean()-X",0.262436475714286
"51",9,"WALKING_DOWNSTAIRS","test","tBodyAcc-mean()-X",0.295923445
"52",9,"SITTING","test","tBodyAcc-mean()-X",0.24832674354
"53",9,"STANDING","test","tBodyAcc-mean()-X",0.282310057333333
"54",9,"LAYING","test","tBodyAcc-mean()-X",0.2591955368
"55",10,"WALKING","test","tBodyAcc-mean()-X",0.278574076603774
"56",10,"WALKING_UPSTAIRS","test","tBodyAcc-mean()-X",0.267121853404255
"57",10,"WALKING_DOWNSTAIRS","test","tBodyAcc-mean()-X",0.290401594315789
"58",10,"SITTING","test","tBodyAcc-mean()-X",0.270612056481481
"59",10,"STANDING","test","tBodyAcc-mean()-X",0.276650300681818
"60",10,"LAYING","test","tBodyAcc-mean()-X",0.280230574137931
"61",11,"WALKING","train","tBodyAcc-mean()-X",0.271821892881356
"62",11,"WALKING_UPSTAIRS","train","tBodyAcc-mean()-X",0.263775859277778
"63",11,"WALKING_DOWNSTAIRS","train","tBodyAcc-mean()-X",0.291605631956522
"64",11,"SITTING","train","tBodyAcc-mean()-X",0.276590197358491
"65",11,"STANDING","train","tBodyAcc-mean()-X",0.277715562765957
"66",11,"LAYING","train","tBodyAcc-mean()-X",0.280592970877193
"67",12,"WALKING","test","tBodyAcc-mean()-X",0.2771286656
"68",12,"WALKING_UPSTAIRS","test","tBodyAcc-mean()-X",0.272970338653846
"69",12,"WALKING_DOWNSTAIRS","test","tBodyAcc-mean()-X",0.281521097391304
"70",12,"SITTING","test","tBodyAcc-mean()-X",0.275007224901961
"71",12,"STANDING","test","tBodyAcc-mean()-X",0.277405834918033
"72",12,"LAYING","test","tBodyAcc-mean()-X",0.260113433
"73",13,"WALKING","test","tBodyAcc-mean()-X",0.275883130350877
"74",13,"WALKING_UPSTAIRS","test","tBodyAcc-mean()-X",0.258203939581818
"75",13,"WALKING_DOWNSTAIRS","test","tBodyAcc-mean()-X",0.294907553404255
"76",13,"SITTING","test","tBodyAcc-mean()-X",0.274328499591837
"77",13,"STANDING","test","tBodyAcc-mean()-X",0.277758431052632
"78",13,"LAYING","test","tBodyAcc-mean()-X",0.276716360483871
"79",14,"WALKING","train","tBodyAcc-mean()-X",0.271959598644068
"80",14,"WALKING_UPSTAIRS","train","tBodyAcc-mean()-X",0.26242106612963
"81",14,"WALKING_DOWNSTAIRS","train","tBodyAcc-mean()-X",0.293422115555556
"82",14,"SITTING","train","tBodyAcc-mean()-X",0.279990577037037
"83",14,"STANDING","train","tBodyAcc-mean()-X",0.280545613833333
"84",14,"LAYING","train","tBodyAcc-mean()-X",0.233275439803922
"85",15,"WALKING","train","tBodyAcc-mean()-X",0.273899207962963
"86",15,"WALKING_UPSTAIRS","train","tBodyAcc-mean()-X",0.270187595833333
"87",15,"WALKING_DOWNSTAIRS","train","tBodyAcc-mean()-X",0.280198851190476
"88",15,"SITTING","train","tBodyAcc-mean()-X",0.27290337979661
"89",15,"STANDING","train","tBodyAcc-mean()-X",0.278915803962264
"90",15,"LAYING","train","tBodyAcc-mean()-X",0.2894756525
"91",16,"WALKING","train","tBodyAcc-mean()-X",0.276023564509804
"92",16,"WALKING_UPSTAIRS","train","tBodyAcc-mean()-X",0.255986102627451
"93",16,"WALKING_DOWNSTAIRS","train","tBodyAcc-mean()-X",0.295586802191489
"94",16,"SITTING","train","tBodyAcc-mean()-X",0.280768574492754
"95",16,"STANDING","train","tBodyAcc-mean()-X",0.283497402948718
"96",16,"LAYING","train","tBodyAcc-mean()-X",0.274227162571429
"97",17,"WALKING","train","tBodyAcc-mean()-X",0.272341855245902
"98",17,"WALKING_UPSTAIRS","train","tBodyAcc-mean()-X",0.252604768583333
"99",17,"WALKING_DOWNSTAIRS","train","tBodyAcc-mean()-X",0.29391828326087
"100",17,"SITTING","train","tBodyAcc-mean()-X",0.2773570196875
"101",17,"STANDING","train","tBodyAcc-mean()-X",0.277942503333333
"102",17,"LAYING","train","tBodyAcc-mean()-X",0.269780085577465
"103",18,"WALKING","test","tBodyAcc-mean()-X",0.273887758571429
"104",18,"WALKING_UPSTAIRS","test","tBodyAcc-mean()-X",0.265401201896552
"105",18,"WALKING_DOWNSTAIRS","test","tBodyAcc-mean()-X",0.288439468909091
"106",18,"SITTING","test","tBodyAcc-mean()-X",0.27727001877193
"107",18,"STANDING","test","tBodyAcc-mean()-X",0.278458805890411
"108",18,"LAYING","test","tBodyAcc-mean()-X",0.274691576923077
"109",19,"WALKING","train","tBodyAcc-mean()-X",0.273931172307692
"110",19,"WALKING_UPSTAIRS","train","tBodyAcc-mean()-X",0.242118808925
"111",19,"WALKING_DOWNSTAIRS","train","tBodyAcc-mean()-X",0.262688053871795
"112",19,"SITTING","train","tBodyAcc-mean()-X",0.273830316164384
"113",19,"STANDING","train","tBodyAcc-mean()-X",0.27817226
"114",19,"LAYING","train","tBodyAcc-mean()-X",0.272653733493976
"115",20,"WALKING","test","tBodyAcc-mean()-X",0.272589336470588
"116",20,"WALKING_UPSTAIRS","test","tBodyAcc-mean()-X",0.252098317156863
"117",20,"WALKING_DOWNSTAIRS","test","tBodyAcc-mean()-X",0.296144421355556
"118",20,"SITTING","test","tBodyAcc-mean()-X",0.278045439090909
"119",20,"STANDING","test","tBodyAcc-mean()-X",0.278076904657534
"120",20,"LAYING","test","tBodyAcc-mean()-X",0.239507882205882
"121",21,"WALKING","train","tBodyAcc-mean()-X",0.279183526730769
"122",21,"WALKING_UPSTAIRS","train","tBodyAcc-mean()-X",0.265194544680851
"123",21,"WALKING_DOWNSTAIRS","train","tBodyAcc-mean()-X",0.3014610196
"124",21,"SITTING","train","tBodyAcc-mean()-X",0.277539616823529
"125",21,"STANDING","train","tBodyAcc-mean()-X",0.27695224258427
"126",21,"LAYING","train","tBodyAcc-mean()-X",0.271325472455556
"127",22,"WALKING","train","tBodyAcc-mean()-X",0.27886459
"128",22,"WALKING_UPSTAIRS","train","tBodyAcc-mean()-X",0.248391534566667
"129",22,"WALKING_DOWNSTAIRS","train","tBodyAcc-mean()-X",0.284458963861111
"130",22,"SITTING","train","tBodyAcc-mean()-X",0.273583822709677
"131",22,"STANDING","train","tBodyAcc-mean()-X",0.279053861587302
"132",22,"LAYING","train","tBodyAcc-mean()-X",0.279959721194444
"133",23,"WALKING","train","tBodyAcc-mean()-X",0.273211884237288
"134",23,"WALKING_UPSTAIRS","train","tBodyAcc-mean()-X",0.249995171031373
"135",23,"WALKING_DOWNSTAIRS","train","tBodyAcc-mean()-X",0.289897411148148
"136",23,"SITTING","train","tBodyAcc-mean()-X",0.273351251617647
"137",23,"STANDING","train","tBodyAcc-mean()-X",0.277899323235294
"138",23,"LAYING","train","tBodyAcc-mean()-X",0.274038007986111
"139",24,"WALKING","test","tBodyAcc-mean()-X",0.276980816034483
"140",24,"WALKING_UPSTAIRS","test","tBodyAcc-mean()-X",0.269881106779661
"141",24,"WALKING_DOWNSTAIRS","test","tBodyAcc-mean()-X",0.288631208909091
"142",24,"SITTING","test","tBodyAcc-mean()-X",0.273475690147059
"143",24,"STANDING","test","tBodyAcc-mean()-X",0.280348883913043
"144",24,"LAYING","test","tBodyAcc-mean()-X",0.272850494930556
"145",25,"WALKING","train","tBodyAcc-mean()-X",0.278992759054054
"146",25,"WALKING_UPSTAIRS","train","tBodyAcc-mean()-X",0.277995411384615
"147",25,"WALKING_DOWNSTAIRS","train","tBodyAcc-mean()-X",0.291329666206897
"148",25,"SITTING","train","tBodyAcc-mean()-X",0.278541482461538
"149",25,"STANDING","train","tBodyAcc-mean()-X",0.278013701621622
"150",25,"LAYING","train","tBodyAcc-mean()-X",0.250791828613699
"151",26,"WALKING","train","tBodyAcc-mean()-X",0.279264443728814
"152",26,"WALKING_UPSTAIRS","train","tBodyAcc-mean()-X",0.272691394545455
"153",26,"WALKING_DOWNSTAIRS","train","tBodyAcc-mean()-X",0.2792845828
"154",26,"SITTING","train","tBodyAcc-mean()-X",0.258243530166667
"155",26,"STANDING","train","tBodyAcc-mean()-X",0.281127035405405
"156",26,"LAYING","train","tBodyAcc-mean()-X",0.271645864540789
"157",27,"WALKING","train","tBodyAcc-mean()-X",0.276849485438596
"158",27,"WALKING_UPSTAIRS","train","tBodyAcc-mean()-X",0.265770253921569
"159",27,"WALKING_DOWNSTAIRS","train","tBodyAcc-mean()-X",0.2975441875
"160",27,"SITTING","train","tBodyAcc-mean()-X",0.273941302571429
"161",27,"STANDING","train","tBodyAcc-mean()-X",0.279566921625
"162",27,"LAYING","train","tBodyAcc-mean()-X",0.274102492432432
"163",28,"WALKING","train","tBodyAcc-mean()-X",0.281228223888889
"164",28,"WALKING_UPSTAIRS","train","tBodyAcc-mean()-X",0.262005841764706
"165",28,"WALKING_DOWNSTAIRS","train","tBodyAcc-mean()-X",0.293642076521739
"166",28,"SITTING","train","tBodyAcc-mean()-X",0.276977629444444
"167",28,"STANDING","train","tBodyAcc-mean()-X",0.277795069113924
"168",28,"LAYING","train","tBodyAcc-mean()-X",0.2759134825
"169",29,"WALKING","train","tBodyAcc-mean()-X",0.271999916792453
"170",29,"WALKING_UPSTAIRS","train","tBodyAcc-mean()-X",0.265423066877551
"171",29,"WALKING_DOWNSTAIRS","train","tBodyAcc-mean()-X",0.293140441083333
"172",29,"SITTING","train","tBodyAcc-mean()-X",0.2771799775
"173",29,"STANDING","train","tBodyAcc-mean()-X",0.277965065846154
"174",29,"LAYING","train","tBodyAcc-mean()-X",0.287295196811594
"175",30,"WALKING","train","tBodyAcc-mean()-X",0.276406758
"176",30,"WALKING_UPSTAIRS","train","tBodyAcc-mean()-X",0.271415642261538
"177",30,"WALKING_DOWNSTAIRS","train","tBodyAcc-mean()-X",0.283190646967742
"178",30,"SITTING","train","tBodyAcc-mean()-X",0.268336081379032
"179",30,"STANDING","train","tBodyAcc-mean()-X",0.277112699152542
"180",30,"LAYING","train","tBodyAcc-mean()-X",0.281033900571429
"181",1,"WALKING","train","tBodyAcc-mean()-X",0.277330758736842
"182",1,"WALKING_UPSTAIRS","train","tBodyAcc-mean()-X",0.255461689622641
"183",1,"WALKING_DOWNSTAIRS","train","tBodyAcc-mean()-X",0.289188320408163
"184",1,"SITTING","train","tBodyAcc-mean()-X",0.261237565425532
"185",1,"STANDING","train","tBodyAcc-mean()-X",0.278917629056604
"186",1,"LAYING","train","tBodyAcc-mean()-X",0.22159824394
"187",2,"WALKING","test","tBodyAcc-mean()-X",0.276426586440678
"188",2,"WALKING_UPSTAIRS","test","tBodyAcc-mean()-X",0.247164790395833
"189",2,"WALKING_DOWNSTAIRS","test","tBodyAcc-mean()-X",0.27761534806383
"190",2,"SITTING","test","tBodyAcc-mean()-X",0.27708735173913
"191",2,"STANDING","test","tBodyAcc-mean()-X",0.277911472222222
"192",2,"LAYING","test","tBodyAcc-mean()-X",0.281373403958333
"193",3,"WALKING","train","tBodyAcc-mean()-X",0.275567462068966
"194",3,"WALKING_UPSTAIRS","train","tBodyAcc-mean()-X",0.260819873067797
"195",3,"WALKING_DOWNSTAIRS","train","tBodyAcc-mean()-X",0.292423484693878
"196",3,"SITTING","train","tBodyAcc-mean()-X",0.257197599134615
"197",3,"STANDING","train","tBodyAcc-mean()-X",0.280046513278689
"198",3,"LAYING","train","tBodyAcc-mean()-X",0.275516852741935
"199",4,"WALKING","test","tBodyAcc-mean()-X",0.278582015166667
"200",4,"WALKING_UPSTAIRS","test","tBodyAcc-mean()-X",0.270876696730769
"201",4,"WALKING_DOWNSTAIRS","test","tBodyAcc-mean()-X",0.279965329555556
"202",4,"SITTING","test","tBodyAcc-mean()-X",0.27153827992
"203",4,"STANDING","test","tBodyAcc-mean()-X",0.280499745892857
"204",4,"LAYING","test","tBodyAcc-mean()-X",0.263559214981481
"205",5,"WALKING","train","tBodyAcc-mean()-X",0.27784234625
"206",5,"WALKING_UPSTAIRS","train","tBodyAcc-mean()-X",0.268459469914894
"207",5,"WALKING_DOWNSTAIRS","train","tBodyAcc-mean()-X",0.29354392712766
"208",5,"SITTING","train","tBodyAcc-mean()-X",0.273694139545455
"209",5,"STANDING","train","tBodyAcc-mean()-X",0.282544390892857
"210",5,"LAYING","train","tBodyAcc-mean()-X",0.278334325576923
"211",6,"WALKING","train","tBodyAcc-mean()-X",0.283658868070175
"212",6,"WALKING_UPSTAIRS","train","tBodyAcc-mean()-X",0.268229355098039
"213",6,"WALKING_DOWNSTAIRS","train","tBodyAcc-mean()-X",0.277045258145833
"214",6,"SITTING","train","tBodyAcc-mean()-X",0.276778487454545
"215",6,"STANDING","train","tBodyAcc-mean()-X",0.280346248596491
"216",6,"LAYING","train","tBodyAcc-mean()-X",0.248656520140351
"217",7,"WALKING","train","tBodyAcc-mean()-X",0.275592961754386
"218",7,"WALKING_UPSTAIRS","train","tBodyAcc-mean()-X",0.248706923078431
"219",7,"WALKING_DOWNSTAIRS","train","tBodyAcc-mean()-X",0.28030708
"220",7,"SITTING","train","tBodyAcc-mean()-X",0.284674637291667
"221",7,"STANDING","train","tBodyAcc-mean()-X",0.282723539433962
"222",7,"LAYING","train","tBodyAcc-mean()-X",0.250176694038462
"223",8,"WALKING","train","tBodyAcc-mean()-X",0.27468631
"224",8,"WALKING_UPSTAIRS","train","tBodyAcc-mean()-X",0.258880152048781
"225",8,"WALKING_DOWNSTAIRS","train","tBodyAcc-mean()-X",0.283484089210526
"226",8,"SITTING","train","tBodyAcc-mean()-X",0.267491472934783
"227",8,"STANDING","train","tBodyAcc-mean()-X",0.279620986111111
"228",8,"LAYING","train","tBodyAcc-mean()-X",0.261254282907407
"229",9,"WALKING","test","tBodyAcc-mean()-X",0.278502842115385
"230",9,"WALKING_UPSTAIRS","test","tBodyAcc-mean()-X",0.262436475714286
"231",9,"WALKING_DOWNSTAIRS","test","tBodyAcc-mean()-X",0.295923445
"232",9,"SITTING","test","tBodyAcc-mean()-X",0.24832674354
"233",9,"STANDING","test","tBodyAcc-mean()-X",0.282310057333333
"234",9,"LAYING","test","tBodyAcc-mean()-X",0.2591955368
"235",10,"WALKING","test","tBodyAcc-mean()-X",0.278574076603774
"236",10,"WALKING_UPSTAIRS","test","tBodyAcc-mean()-X",0.267121853404255
"237",10,"WALKING_DOWNSTAIRS","test","tBodyAcc-mean()-X",0.290401594315789
"238",10,"SITTING","test","tBodyAcc-mean()-X",0.270612056481481
"239",10,"STANDING","test","tBodyAcc-mean()-X",0.276650300681818
"240",10,"LAYING","test","tBodyAcc-mean()-X",0.280230574137931
"241",11,"WALKING","train","tBodyAcc-mean()-X",0.271821892881356
"242",11,"WALKING_UPSTAIRS","train","tBodyAcc-mean()-X",0.263775859277778
"243",11,"WALKING_DOWNSTAIRS","train","tBodyAcc-mean()-X",0.291605631956522
"244",11,"SITTING","train","tBodyAcc-mean()-X",0.276590197358491
"245",11,"STANDING","train","tBodyAcc-mean()-X",0.277715562765957
"246",11,"LAYING","train","tBodyAcc-mean()-X",0.280592970877193
"247",12,"WALKING","test","tBodyAcc-mean()-X",0.2771286656
"248",12,"WALKING_UPSTAIRS","test","tBodyAcc-mean()-X",0.272970338653846
"249",12,"WALKING_DOWNSTAIRS","test","tBodyAcc-mean()-X",0.281521097391304
"250",12,"SITTING","test","tBodyAcc-mean()-X",0.275007224901961
"251",12,"STANDING","test","tBodyAcc-mean()-X",0.277405834918033
"252",12,"LAYING","test","tBodyAcc-mean()-X",0.260113433
"253",13,"WALKING","test","tBodyAcc-mean()-X",0.275883130350877
"254",13,"WALKING_UPSTAIRS","test","tBodyAcc-mean()-X",0.258203939581818
"255",13,"WALKING_DOWNSTAIRS","test","tBodyAcc-mean()-X",0.294907553404255
"256",13,"SITTING","test","tBodyAcc-mean()-X",0.274328499591837
"257",13,"STANDING","test","tBodyAcc-mean()-X",0.277758431052632
"258",13,"LAYING","test","tBodyAcc-mean()-X",0.276716360483871
"259",14,"WALKING","train","tBodyAcc-mean()-X",0.271959598644068
"260",14,"WALKING_UPSTAIRS","train","tBodyAcc-mean()-X",0.26242106612963
"261",14,"WALKING_DOWNSTAIRS","train","tBodyAcc-mean()-X",0.293422115555556
"262",14,"SITTING","train","tBodyAcc-mean()-X",0.279990577037037
"263",14,"STANDING","train","tBodyAcc-mean()-X",0.280545613833333
"264",14,"LAYING","train","tBodyAcc-mean()-X",0.233275439803922
"265",15,"WALKING","train","tBodyAcc-mean()-X",0.273899207962963
"266",15,"WALKING_UPSTAIRS","train","tBodyAcc-mean()-X",0.270187595833333
"267",15,"WALKING_DOWNSTAIRS","train","tBodyAcc-mean()-X",0.280198851190476
"268",15,"SITTING","train","tBodyAcc-mean()-X",0.27290337979661
"269",15,"STANDING","train","tBodyAcc-mean()-X",0.278915803962264
"270",15,"LAYING","train","tBodyAcc-mean()-X",0.2894756525
"271",16,"WALKING","train","tBodyAcc-mean()-X",0.276023564509804
"272",16,"WALKING_UPSTAIRS","train","tBodyAcc-mean()-X",0.255986102627451
"273",16,"WALKING_DOWNSTAIRS","train","tBodyAcc-mean()-X",0.295586802191489
"274",16,"SITTING","train","tBodyAcc-mean()-X",0.280768574492754
"275",16,"STANDING","train","tBodyAcc-mean()-X",0.283497402948718
"276",16,"LAYING","train","tBodyAcc-mean()-X",0.274227162571429
"277",17,"WALKING","train","tBodyAcc-mean()-X",0.272341855245902
"278",17,"WALKING_UPSTAIRS","train","tBodyAcc-mean()-X",0.252604768583333
"279",17,"WALKING_DOWNSTAIRS","train","tBodyAcc-mean()-X",0.29391828326087
"280",17,"SITTING","train","tBodyAcc-mean()-X",0.2773570196875
"281",17,"STANDING","train","tBodyAcc-mean()-X",0.277942503333333
"282",17,"LAYING","train","tBodyAcc-mean()-X",0.269780085577465
"283",18,"WALKING","test","tBodyAcc-mean()-X",0.273887758571429
"284",18,"WALKING_UPSTAIRS","test","tBodyAcc-mean()-X",0.265401201896552
"285",18,"WALKING_DOWNSTAIRS","test","tBodyAcc-mean()-X",0.288439468909091
"286",18,"SITTING","test","tBodyAcc-mean()-X",0.27727001877193
"287",18,"STANDING","test","tBodyAcc-mean()-X",0.278458805890411
"288",18,"LAYING","test","tBodyAcc-mean()-X",0.274691576923077
"289",19,"WALKING","train","tBodyAcc-mean()-X",0.273931172307692
"290",19,"WALKING_UPSTAIRS","train","tBodyAcc-mean()-X",0.242118808925
"291",19,"WALKING_DOWNSTAIRS","train","tBodyAcc-mean()-X",0.262688053871795
"292",19,"SITTING","train","tBodyAcc-mean()-X",0.273830316164384
"293",19,"STANDING","train","tBodyAcc-mean()-X",0.27817226
"294",19,"LAYING","train","tBodyAcc-mean()-X",0.272653733493976
"295",20,"WALKING","test","tBodyAcc-mean()-X",0.272589336470588
"296",20,"WALKING_UPSTAIRS","test","tBodyAcc-mean()-X",0.252098317156863
"297",20,"WALKING_DOWNSTAIRS","test","tBodyAcc-mean()-X",0.296144421355556
"298",20,"SITTING","test","tBodyAcc-mean()-X",0.278045439090909
"299",20,"STANDING","test","tBodyAcc-mean()-X",0.278076904657534
"300",20,"LAYING","test","tBodyAcc-mean()-X",0.239507882205882
"301",21,"WALKING","train","tBodyAcc-mean()-X",0.279183526730769
"302",21,"WALKING_UPSTAIRS","train","tBodyAcc-mean()-X",0.265194544680851
"303",21,"WALKING_DOWNSTAIRS","train","tBodyAcc-mean()-X",0.3014610196
"304",21,"SITTING","train","tBodyAcc-mean()-X",0.277539616823529
"305",21,"STANDING","train","tBodyAcc-mean()-X",0.27695224258427
"306",21,"LAYING","train","tBodyAcc-mean()-X",0.271325472455556
"307",22,"WALKING","train","tBodyAcc-mean()-X",0.27886459
"308",22,"WALKING_UPSTAIRS","train","tBodyAcc-mean()-X",0.248391534566667
"309",22,"WALKING_DOWNSTAIRS","train","tBodyAcc-mean()-X",0.284458963861111
"310",22,"SITTING","train","tBodyAcc-mean()-X",0.273583822709677
"311",22,"STANDING","train","tBodyAcc-mean()-X",0.279053861587302
"312",22,"LAYING","train","tBodyAcc-mean()-X",0.279959721194444
"313",23,"WALKING","train","tBodyAcc-mean()-X",0.273211884237288
"314",23,"WALKING_UPSTAIRS","train","tBodyAcc-mean()-X",0.249995171031373
"315",23,"WALKING_DOWNSTAIRS","train","tBodyAcc-mean()-X",0.289897411148148
"316",23,"SITTING","train","tBodyAcc-mean()-X",0.273351251617647
"317",23,"STANDING","train","tBodyAcc-mean()-X",0.277899323235294
"318",23,"LAYING","train","tBodyAcc-mean()-X",0.274038007986111
"319",24,"WALKING","test","tBodyAcc-mean()-X",0.276980816034483
"320",24,"WALKING_UPSTAIRS","test","tBodyAcc-mean()-X",0.269881106779661
"321",24,"WALKING_DOWNSTAIRS","test","tBodyAcc-mean()-X",0.288631208909091
"322",24,"SITTING","test","tBodyAcc-mean()-X",0.273475690147059
"323",24,"STANDING","test","tBodyAcc-mean()-X",0.280348883913043
"324",24,"LAYING","test","tBodyAcc-mean()-X",0.272850494930556
"325",25,"WALKING","train","tBodyAcc-mean()-X",0.278992759054054
"326",25,"WALKING_UPSTAIRS","train","tBodyAcc-mean()-X",0.277995411384615
"327",25,"WALKING_DOWNSTAIRS","train","tBodyAcc-mean()-X",0.291329666206897
"328",25,"SITTING","train","tBodyAcc-mean()-X",0.278541482461538
"329",25,"STANDING","train","tBodyAcc-mean()-X",0.278013701621622
"330",25,"LAYING","train","tBodyAcc-mean()-X",0.250791828613699
"331",26,"WALKING","train","tBodyAcc-mean()-X",0.279264443728814
"332",26,"WALKING_UPSTAIRS","train","tBodyAcc-mean()-X",0.272691394545455
"333",26,"WALKING_DOWNSTAIRS","train","tBodyAcc-mean()-X",0.2792845828
"334",26,"SITTING","train","tBodyAcc-mean()-X",0.258243530166667
"335",26,"STANDING","train","tBodyAcc-mean()-X",0.281127035405405
"336",26,"LAYING","train","tBodyAcc-mean()-X",0.271645864540789
"337",27,"WALKING","train","tBodyAcc-mean()-X",0.276849485438596
"338",27,"WALKING_UPSTAIRS","train","tBodyAcc-mean()-X",0.265770253921569
"339",27,"WALKING_DOWNSTAIRS","train","tBodyAcc-mean()-X",0.2975441875
"340",27,"SITTING","train","tBodyAcc-mean()-X",0.273941302571429
"341",27,"STANDING","train","tBodyAcc-mean()-X",0.279566921625
"342",27,"LAYING","train","tBodyAcc-mean()-X",0.274102492432432
"343",28,"WALKING","train","tBodyAcc-mean()-X",0.281228223888889
"344",28,"WALKING_UPSTAIRS","train","tBodyAcc-mean()-X",0.262005841764706
"345",28,"WALKING_DOWNSTAIRS","train","tBodyAcc-mean()-X",0.293642076521739
"346",28,"SITTING","train","tBodyAcc-mean()-X",0.276977629444444
"347",28,"STANDING","train","tBodyAcc-mean()-X",0.277795069113924
"348",28,"LAYING","train","tBodyAcc-mean()-X",0.2759134825
"349",29,"WALKING","train","tBodyAcc-mean()-X",0.271999916792453
"350",29,"WALKING_UPSTAIRS","train","tBodyAcc-mean()-X",0.265423066877551
"351",29,"WALKING_DOWNSTAIRS","train","tBodyAcc-mean()-X",0.293140441083333
"352",29,"SITTING","train","tBodyAcc-mean()-X",0.2771799775
"353",29,"STANDING","train","tBodyAcc-mean()-X",0.277965065846154
"354",29,"LAYING","train","tBodyAcc-mean()-X",0.287295196811594
"355",30,"WALKING","train","tBodyAcc-mean()-X",0.276406758
"356",30,"WALKING_UPSTAIRS","train","tBodyAcc-mean()-X",0.271415642261538
"357",30,"WALKING_DOWNSTAIRS","train","tBodyAcc-mean()-X",0.283190646967742
"358",30,"SITTING","train","tBodyAcc-mean()-X",0.268336081379032
"359",30,"STANDING","train","tBodyAcc-mean()-X",0.277112699152542
"360",30,"LAYING","train","tBodyAcc-mean()-X",0.281033900571429
"361",1,"WALKING","train","tBodyAcc-mean()-Y",-0.0173838185273684
"362",1,"WALKING_UPSTAIRS","train","tBodyAcc-mean()-Y",-0.0239531492643396
"363",1,"WALKING_DOWNSTAIRS","train","tBodyAcc-mean()-Y",-0.00991850461020408
"364",1,"SITTING","train","tBodyAcc-mean()-Y",-0.00130828765170213
"365",1,"STANDING","train","tBodyAcc-mean()-Y",-0.0161375901037736
